comment_id,comment,likeCount,video_id
UgzhHj7UrjcNqPd1M714AaABAg,"⏰5월 4일(목) 오후 17시⏰
알림 받기 버튼을 꾸욱~누르세요🤩
https://youtube.com/live/CLGNPWoUPGM
-----------------------------------------
⏰May 4th (Thurs) 5PM KST⏰
Make your to turn your alarm on🤩
https://youtube.com/live/CLGNPWoUPGM",4,M87yvYfPNNg
UgyBz0E6oBEA4WUGcn54AaABAg,고양이 모두를 홀리는 그것.,1,M87yvYfPNNg
UgzYS9Q68zYUOIkjOCB4AaABAg,어쩜 고등어얼굴 치즈얼굴 반반이래요?!!넘신기한아이네요?! 홀릭됐네요!!ㅎ❤,0,M87yvYfPNNg
UgwS-hHsZveQ3ZFt5tl4AaABAg,"나는 새끼다 더 보러 가기 👶↓↓↓
For more I'm A Baby 👶↓↓↓
https://bit.ly/im_a_baby",66,_bcNiZ8Uxls
Ugxe4YSwJb4gyEWQvC94AaABAg,"안녕하세요. 애니멀봐 나새끼 24호 출연한 오둥이 보호자입니다.
저희 아가 고양이들 예뻐해주셔서 너무 감사합니다:)
하루하루 빠르게 성장하는 아이들 예쁘게 담아주신 애니멀봐 제작진 분들께도 감사드립니다.
아가냥들 행복한 가정 찾아주기 위해 오늘도 열심히 육묘중이니 앞으로도 많은 관심 부탁드립니다❤",192,_bcNiZ8Uxls
UgzwK73FaendgTXyJUZ4AaABAg,Uma verdadeira família muito linda dos gatinhos 🙏🙏🐈🐈🎈🐈🐈🎈🐈🐈❣️🐈🐈🎈🐈🐈🎈🇧🇷🇧🇷,43,_bcNiZ8Uxls
UgyJ9kkmbNN_V4HGzwx4AaABAg,"손에 잡으면 부서질 것 같구, 호호불면 날아갈 것 같구 ☺️✨ 이세상에 이런 귀요움이 존재하다니🥹❤️",245,_bcNiZ8Uxls
UgwtVxMWn27gp2c-CJR4AaABAg,Lindo lindo mesmo parabéns pelo trabalho tooop 😀😀😀😀👏👏👏🐈🐈🐈💙💙💙💙,28,_bcNiZ8Uxls
UgzdAbhMz-WfeXZcU2N4AaABAg,Boa noite! Amo de paixão! Muita lindeza !😻😍😘🇧🇷,25,_bcNiZ8Uxls
UgwKdZU1CF41hVt99st4AaABAg,"스트릿 출신의 2개월령이었던 아이와 만나 벌써 11년, 신장종양으로 얼마전 신장 적출까지 했지만 기특하게도 아직 옆에 있어주고 있습니다. 내 첫고양이의 첫 모습이 떠오르네요~^^ 우리 아가도 이랬던 때가 있었네요 ㅎㅎ",44,_bcNiZ8Uxls
UgwpB1vAiqQ6pRWMfRJ4AaABAg,냥이들이 건강하고 행복하게 잘 지내면 좋겠어요,78,_bcNiZ8Uxls
UgxS_MWoG5dPe9XLp8J4AaABAg,오구오구 아깽이가 너무 이뻐요... 아침부터 힐링합니다~~♡♡,114,_bcNiZ8Uxls
Ugy6OIPqj8AvKB6yQdh4AaABAg,와 정말 사랑스럽다... 건강하게 아프지 말고 잘 크자..  좋은 집사님 꼭 만나 평생 꽃길 걷기를~~~~ 정말 입양은 신중해야 합니다. 평생 가족으로 함께 교감하고 서로 사랑 해 줄거 아니면요..,23,_bcNiZ8Uxls
