영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
M87yvYfPNNg,UC22go5LdQEw-iDuxFb4C0hw,🔥핫딜🔥고양이 해모도 반한 CAT holic 간식 #애니멀봐 #shorts,2023-05-02T08:00:08Z,4168,200,0,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'animals', 'animal farm', 'tv animal farm', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '애니멀봐 고양이', '고양이', '고영희', '캣홀릭', '고양이 영상', '고양이 침', '고양이 간식', '귀여운 고양이', '고양이 구조', '고양이 간식 추천', '저염 간식', '고양이 사랑', '고영희 영상', '고양이 츄르', '츄르', '저염식', '고양이 일상', '고양이 브이로그', 'CAT holic', 'catholic', 'cat', 'cats', 'catto', 'cate', 'cat cat', 'cat video', 'cat sounds', 'cat videos', 'cat kitten', 'kitten', 'kittens', 'cat tv', 'cat vlog', 'cat life', 'rescue cat', 'animal', 'animal lover', 'cat lovers', 'cat feed']"
_bcNiZ8Uxls,UC22go5LdQEw-iDuxFb4C0hw,나는 태어난 지 10일 된 코리안숏헤어 새끼다 [애니멀봐 나새끼 24호]ㅣI'm a 10-Day-Old Korean Shorthair Kitten,2023-05-01T23:00:14Z,85423,4024,224,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '고양이', '애니멀봐 고양이', '코숏 고양이', '고양이 종류', '귀여운 고양이', '코리안숏헤어', '새끼 고양이', '아깽이', '고양이 출산', '새끼 동물', '치즈냥이', 'cat', 'Korean shorthair', 'cute cat', 'kitten', 'baby cat', 'baby animal', 'cat breed', 'cute animal', 'cute kitten', 'Korean shorthair cat', 'short hair cat', 'kitten eyes', 'cat eyes', '코숏', '나새끼']"
0EHp3EPGjcY,UC22go5LdQEw-iDuxFb4C0hw,[속보] 견민 목줄 길이 2m가 기준 '잘못하면 큰집 방문' | SBS 발뉴스 (2023.04.28) #애니멀봐 #shorts,2023-05-01T08:00:00Z,19324,398,14,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '강아지', '개', '강아지 영상', '애니멀봐 강아지', '귀여운 강아지', '속보', '강아지 소리', '강아지 산책', '강아지 목줄', '목줄', '강아지 뉴스', 'SBS 발뉴스', '강아지 유튜브', '강아지 애교', '신난 강아지', '개 영상', '동물 뉴스', '뉴스', '목줄 사고', 'animal', 'dog', 'dogs', 'puppy', 'puppys', 'dog puppy', 'cute dog', 'doggie', 'doggy', 'doggys', 'dog video', 'animal videos', 'animal news', 'news', 'dog funny videos', 'dog park', 'dog walk', 'shorts', 'dog shorts', '목줄 논쟁', '목줄 2m', '댕댕이']"
DXGrKmORvl8,UC22go5LdQEw-iDuxFb4C0hw,밤에 나타나고 낮엔 사라지는 신개렐라 백구.. 대반전 낮 생활🙊ㅣBaekgu Rummaging Trash.. Took Her to a Hospital And,2023-04-30T23:00:04Z,64424,2477,105,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재밌는 동물영상', '귀여운 동물', '강아지', '강아지 영상', '강아지 산책', '강아지 커플', '강아지가 반응하는 소리', '강아지 먹방', '아기 강아지', '귀여운 강아지', '강아지 입양', '강아지 수면음악', '새끼 강아지', '강아지 소리', '강아지 브이로그', '동물농장 강아지', '애니멀봐 강아지', '강아지 간식', '강아지 구조', '강아지 마킹', '강아지 하울링', 'dog', 'dog sounds', 'dog videos', 'dog funny videos', 'dog house', 'dog voice']"
Z6_0go6wdvQ,UC22go5LdQEw-iDuxFb4C0hw,내가 쫓아갈까봐 그렇게 했나요. 믿기 힘든 상태로 버려진 강아지ㅣDog Abandoned Bound So He Can’t Move,2023-04-30T08:00:17Z,160355,4680,251,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 강아지', '강아지', '동물농장 강아지', '유기견', '떠돌이 개', '강아지 이야기', '떠돌이 강아지', '베들링턴테리어', '강아지 상처', '강아지 유기', '베들링턴테리어 성격', '동물병원', '강아지 구조', 'dog', 'abandoned dog', 'dog story', 'abandoned dogs', 'cute puppy', 'dog house', 'dog rescue', 'puppy', 'Bedlington terrier', 'dog hurt', 'animal hospital', '버려진 강아지']"
4SplTAQo5KA,UC22go5LdQEw-iDuxFb4C0hw,귀요미 새끼들을 외면하는 엄마 다람쥐.. 이유가 대박ㅣReason Why Septuplets Chipmunks Were Able to Survive,2023-04-30T01:30:02Z,127495,2426,69,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2022', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '동물농장 다람쥐', '애니멀봐 다람쥐', '다람쥐', '다람쥐 키우기', '새끼 동물', '다람쥐 새끼', '새끼 다람쥐', '다람쥐 볼주머니', '귀여운 다람쥐', '귀여운 동물', 'squirrel', 'squirrel sound', 'squirrel feeding', 'squirrel pet', 'chipmunk cute', 'squirrel nut', 'chipmunk', 'chipmunks', 'chipmunk squirrel', 'baby animal', 'baby squirrel', 'cute animal']"
GxOYTKJDZr8,UC22go5LdQEw-iDuxFb4C0hw,한 강아지가 겪은 끔찍한 일 #애니멀봐 #shorts,2023-04-29T09:00:09Z,60280,1464,25,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '베들링턴테리어', '강아지 견종', '강아지', '개', '동물농장 강아지', '애니멀봐 강아지', '강아지 학대', '강아지 구조', '강아지 영상', '강아지 쇼츠', '개 쇼츠', '개 영상', 'dog abuse', 'dog', 'dogs', 'dog video', 'dog videos', 'doggie', 'doggy', 'puppy', 'animal video', 'animal abuse', 'animal rescue', 'Bedlington Terrier', 'Bedlington', 'dog breed', 'dog tv', 'dog reels', 'dog shorts', 'shorts']"
9DvmdcH65rg,UC22go5LdQEw-iDuxFb4C0hw,집에 왔더니 모르는 강아지가 아는 척을 합니다 근데 하반신 상태가.. ㅣWhat the Owner Did to the Dog While Abandoning Him,2023-04-29T08:00:03Z,138052,2865,97,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', '애니멀봐 강아지', '강아지', '동물농장 강아지', '유기견', '떠돌이 개', '강아지 이야기', '떠돌이 강아지', '베들링턴테리어', '강아지 상처', '강아지 유기', '베들링턴테리어 성격', 'dog', 'abandoned dog', 'dog story', 'abandoned dogs', 'cute puppy', 'dog house', 'dog rescue', 'puppy', 'Bedlington terrier', 'dog hurt', 'bedlington terrier puppies', 'dog sad story']"
swETfHzDCTA,UC22go5LdQEw-iDuxFb4C0hw,엄마가 우릴 다리 밑에서 주워온 것 같다람쥐..#애니멀봐 #shorts,2023-04-29T03:00:21Z,45421,955,8,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재미있는 동물영상', 'sbs animal farm 2023', '애니멀봐 다람쥐', '다람쥐 새끼', '새끼 다람쥐', '아기 동물', '새끼 동물', '다람쥐 육아', '다람쥐 키우기', '다람쥐', '동물농장 다람쥐', '다람쥐 가족', '다람쥐 영상', '귀여운 동물', '동물 육아', '육아', '육아 영상', 'chipmunk', 'chipmunks', 'pet', 'chipmunk movie', 'cute animals', 'baby animals', 'animals video', 'funny animal videos', '다람쥐 쇼츠', '쇼츠', 'shorts']"
N_irDiul-wI,UC22go5LdQEw-iDuxFb4C0hw,(※클릭 주의) 누르는 순간 심장 폭격하는 다람쥐뢰..ㅣSeptuplets Chipmunk.. Parents On Parenting Strike,2023-04-28T23:00:14Z,227320,4047,123,"['애니멀봐', '동물농장', 'TV동물농장', '동물농장 애니멀봐', '애니멀봐 동물농장', 'sbs animal farm', 'sbs animal eng sub', 'sbs animal show', 'sbs animal farm 2023', 'animals', 'animal farm', 'tv animal farm', 'tv animal farm korean eng sub', 'tv animal farm eng sub', '동물영상', '재밌는 동물영상', '귀여운 동물', '다람쥐', '다람쥐 영상', '다람쥐 산책', '다람쥐 새끼', '아기 다람쥐', '다람쥐 키우기', '한국 다람쥐', '다람쥐 도토리', '다람쥐 먹방', '귀여운 다람쥐', '애니멀봐 다람쥐', '동물농장 다람쥐', '다람쥐 겨울잠', '다람쥐 쳇바퀴', '다람쥐 수명', '다람쥐 울음소리', '다람쥐 먹이', '도토리 다람쥐', '다람쥐 특징', '다람쥐 청솔모', '다람쥐 볼', '다람쥐 집', '다람쥐 종류', '다람쥐 볼주머니', '다람쥐 출산', '다람쥐 부부', 'squirrel']"
