영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
S1irD7QWvkw,UC2NFRq9s2neD_Ml0tPhNC2Q,100년에 한번 나올까 말까 한 레전드 게임,2023-05-01T02:30:12Z,316630,5451,302,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '하와이안 피자', '파인애플 피자', '피자', '화산', '페퍼로니 피자']"
CmbDWEZ8XqY,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 넘 재밌개해서 선물 보내드리려고요. 개발자님 주소좀^_^,2023-04-30T02:30:09Z,288034,4237,212,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '알트에프포', '항아리게임', '알트에프4', '알트에프42']"
ktlB1-yZEgo,UC2NFRq9s2neD_Ml0tPhNC2Q,(소름주의) 돈미새 #shorts,2023-04-29T02:30:30Z,217815,5486,92,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '상금', '실력', '남자', '소름주의']"
LZHeot2Lzcs,UC2NFRq9s2neD_Ml0tPhNC2Q,당신이 차인 이유 #shorts,2023-04-28T02:30:09Z,150887,4226,106,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '만약에']"
lpOfZTE_pis,UC2NFRq9s2neD_Ml0tPhNC2Q,금칙어 말하면 죽는 게임; 미친 심리전 레전드ㅋㅋㅋㅋ,2023-04-27T02:30:18Z,391576,6392,168,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '방심', '금지어']"
IJLUn7iwQR0,UC2NFRq9s2neD_Ml0tPhNC2Q,따라하라고 이XX들아 따라하라고 이XX들아 따라하지말라고 이XX들아 따라하라고 이XX들아 아 좀 나오라고 이XX들아,2023-04-26T02:30:10Z,313759,4989,216,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '복사', '컨트롤cv']"
nrdz5h7D90I,UC2NFRq9s2neD_Ml0tPhNC2Q,시력 -10.0 공포게임(가까이 안가면 안보임),2023-04-25T02:30:19Z,218908,3344,176,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '레베카', '라식', '라섹']"
kFilnC9pLao,UC2NFRq9s2neD_Ml0tPhNC2Q,게임을 다 깼... 형이 왜 거기서 나와?,2023-04-24T02:30:11Z,383928,4348,158,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama']"
ASSNY9qwxhE,UC2NFRq9s2neD_Ml0tPhNC2Q,"걷는다, 2개, 막대기",2023-04-23T02:30:06Z,319868,4344,210,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '죽마게임', '죽마', '워크마스터', '염소']"
k8YO6Acbvkk,UC2NFRq9s2neD_Ml0tPhNC2Q,커피를 쏟으면 X됨ㅋㅋㅋㅋ #shorts,2023-04-21T02:30:15Z,306025,6779,87,"['병맛게임', '공포게임', 'ㅋㅋㅋㅋ', 'uzuhama', '커피 게임', '우주하마 커피', '병맛']"
