comment_id,comment,likeCount,video_id
UgxZEH-Mih0ndt5fxCZ4AaABAg,"≪낭만닥터 3≫, 1화~2화의 내용입니다. 매우 재밌게 봐서 다음 주 3-4화도 진행 예정입니다.
-------- 
📌 G리는 캐스팅 비하인드 보러 가기
🔗https://youtu.be/Q-h9R9qDvmg
📌 ≪낭만닥터3≫ 이 다음 3~4화 바로 보러 가기
🔗 (다음 주 링크 업뎃예정)
--------
💡지무비가 5년 간 축척한 모든 유튜브 비법 노하우💡
 📚도서 ≪지무비의 유튜브 엑시트 ≫ 구매 링크📚
 📌 예스24: 🔗 https://bit.ly/3oozS6W
 📌 교보문고: 🔗 http://bit.ly/3XMOXfe
 📌 알라딘: 🔗 https://bit.ly/43HhK8u
--------
≪낭만닥터 3≫는 채널 SBS에서 매주 금,토 밤 10시 방영됩니다.",225,MMMUq8WGDcE
UgwW1ZtzveN5b0A3azV4AaABAg,리뷰 G린다! 무슨 일이(?) 있어도 G린다!,1209,MMMUq8WGDcE
UgyAArEmWGzKZkZDT0F4AaABAg,2이후로 박원장 바뀐거 너무 귀여움 ㅋㅋㅋㅋ ㅠㅠ 김사부 말은 최대한 들어주고 거기에 따르는거,390,MMMUq8WGDcE
UgyDFY0T7rTExLTWtXp4AaABAg,"이 드라마가 계속 재밌는 이유가 각 시즌마다 색다른 재미가있음, 이번 3에도 김사부 얘기가 다뤄져서 재밌음",462,MMMUq8WGDcE
UgzKS--2RiQLLesniQh4AaABAg,"경영이형과 석규형님이 같이 나오니 편집이 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
너무 자연스러워",149,MMMUq8WGDcE
UgzRSrlKKlYK4LlWnqR4AaABAg,박원장 김사부 일내면 뒤처리 하고 다니는거 너무 귀여워 ㅋㅋㅋㅋㅋㅋㅋ,218,MMMUq8WGDcE
UgzhkC6HlySsZYavetx4AaABAg,이홍내님 발성이 되게 멋있으시네요 의사 역 잘 어울리시고 이신영님도 연기 잘하시고.. 생각한것보다 새 캐릭터의 역할이 상당한것 같아용,152,MMMUq8WGDcE
UgzsteFp_LQRwTGkVzx4AaABAg,한석규 연기에 힘빼니까 너무 자연스럽고 매력적이네,244,MMMUq8WGDcE
UgwzEkS-elQ4w2KB9nt4AaABAg,우영우 패밀리들 면접보러 온 거 진짜 웃기네 ㅋㅋㅋㅋㅋㅋ,576,MMMUq8WGDcE
Ugz8EwonYy3IsL2DU4d4AaABAg,"시즌 10까지 가면 좋겠다.
명작에 명언 집합 드라마",101,MMMUq8WGDcE
UgxAmBGmzS6-jRfcKo94AaABAg,"📺드라마 ≪나쁜엄마≫, 1화~2화의 내용입니다.
채널 JTBC에서 매주 수, 목 / 밤 10시 30분 방영됩니다.
-------------
💡지무비가 5년 간 축척한 모든 유튜브 비법 노하우💡
  📚도서 ≪지무비의 유튜브 엑시트 ≫ 구매 링크📚
    📌 예스24: 🔗 https://bit.ly/3oozS6W
    📌 교보문고: 🔗 http://bit.ly/3XMOXfe
    📌 알라딘: 🔗 https://bit.ly/43HhK8u",121,tFK4K3FyYwA
Ugz-Km3DEnIO1u5atzx4AaABAg,이도현이 진짜 배우되기 좋은 얼굴인듯...고딩부터 30대까지 왔다갔다되네,1522,tFK4K3FyYwA
Ugwe0gpfahNiojnTo1F4AaABAg,G무비님은 진짜 상황의 설명이나 설명에 사용하는 단어를 진짜 잘 고르시는 것 같다,245,tFK4K3FyYwA
UgwnhrgTT3Om9pQe6514AaABAg,"이도현 배우 호틸 델루나에서 처음 보고 연기 잘하길래 더 흥했으면 좋겠다고 생각햏는데
점점 흥하고 연기도 점점 늘어서 너무 기쁘다",382,tFK4K3FyYwA
UgwizB8oTXT9epXiq8d4AaABAg,"지무비의 장점:모든영상이 다 재밌음
지무비의 단점:지무비 영상보고 재밌게봐서 전편 정주행하려하면 생각외로 원작은 개노잼인게 많음",411,tFK4K3FyYwA
Ugz4MLbc0-JFa77uc3h4AaABAg,"이도현 님은 몬가 신뢰가 가는 배우
예를 들어 박서준 박정민 최우식 남궁민 등 그냥 보기만해도 믿음이가고 가뜩이나 비주얼도 좋고 목소리도 좋고 
영화나 드라마가 항상 기대되게 만드는 배우인것 같네요 항상 응원합니다😊",370,tFK4K3FyYwA
UgwsVmg6FP677c6U5194AaABAg,이도현님은 차분하면서 시청자를 쫘악 끌어들이는 매력이 있음,60,tFK4K3FyYwA
UgxqrpAt5QG2jjjx0mJ4AaABAg,아직 1~2화 초반인데 드라마가 촘촘하고 양쪽입장 다 이해되서 자동눈물 양성됨😂,39,tFK4K3FyYwA
Ugz0BYHqUkfafft0ZQN4AaABAg,확실히 지무비님 리뷰는 58000% 보고싶게함,37,tFK4K3FyYwA
UgzDi3NQLpSx9X_FluB4AaABAg,1화 봤을때 아직잘 스토리는 모르겠지만 전국에 있는 부모님들이 자식 좋은 대학교 가서 편하게 살라고 공부시키는 가치관 대립에 있어서 재밌었음,109,tFK4K3FyYwA
UgwY-dkClGCC3ML_JLZ4AaABAg,"💡51번째 G리는 시리즈💡≪G렸던 캐스팅 비화≫ 6부 였습니다.
📌G렸던 미스캐스팅 보러 가기
🔗https://youtu.be/0QK3_HgF-og
📌G렸던 캐스팅 5부 보러 가기
🔗https://youtu.be/_jXA37y-VXY
-------------
📌 신용회복위원회 사이트
🔗유튜브 : https://youtu.be/Z3xjTjeHyHw
🔗홈페이지 : https://ccrs.or.kr/main.do 
🔗모바일 : https://m.ccrs.or.kr/renewal/main/index.do
   🫵당신의 꿈을 절대 포기하지 마세요",69,Q-h9R9qDvmg
UgyZTK1rxqQOLFD-HzZ4AaABAg,"김은숙 작가님 진짜
글로리 보면서 내내 감탄함
뭐 어캐하면 이런 대사를 찍어내는건지
진짜 래전드임…",281,Q-h9R9qDvmg
UgxHKA0N3d7wNKIjVmZ4AaABAg,"정말이지 지무비님 영상은 항상 볼때마다 자기자신을 다시 되돌아보게 하는 교훈이 너무 좋습니다 
구독자 10만때부터 바왔는데 항상 응원합니다 좋은영상 만들어주셔서 항상 감사합니다 ㅎㅎ",37,Q-h9R9qDvmg
Ugx1l9oJwKeWD62MepB4AaABAg,진짜 더글로리는 캐스팅부터 시작해서 거를게 없음ㅋㅋㅋㅋㅋㅋㅋ이런작품많이 나왔으면 좋겠다,8,Q-h9R9qDvmg
Ugy_ZfPl0oLZtdMMqRV4AaABAg,"김민배우 많은 작품에서 볼수 있었음 좋겠어요 카지노 마지막회 끝나고 우연히 토종한국인 배우라고 
알게되서 너무 놀랐던 기억이… 시청자를 이렇게 국적까지 깜빡 속일 정도면 연기최고 아닌가!",21,Q-h9R9qDvmg
UgyPZtK3a5RYYRziEKZ4AaABAg,"와.. 마지막 호이콴 해리슨 포드랑 포옹할때 감동 장난없네요. 
역시 같은 장면이라도 히스토리를 알고 보는것과 모르고 보는것의 차이가 극과 극",36,Q-h9R9qDvmg
Ugw6JlEn0HLZx4zuDCd4AaABAg,항상 볼때마다 느끼는 거지만 가끔 감동을 주는 지무비의 마지막 영상미가 너무 좋다,26,Q-h9R9qDvmg
Ugxq_wrxegPgSG_exoV4AaABAg,"더글로리... 진짜 인생작....
대사, 연출, 연기 어느 하나 빠지지 않고 뛰어났다...",20,Q-h9R9qDvmg
Ugxg8eyxwaeavbnNTfN4AaABAg,숙제 들어가는 타이밍 미쳤다 정말 ㅋㅋㅋㅋㅋㅋㅋ,118,Q-h9R9qDvmg
