영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
MMMUq8WGDcE,UCaHGOzOyeYzLQeKsVkfLEGA,그냥 찌질한 50대 백수 아저씬 줄 알고 개무시했는데 대한민국 NO.1 천재 의사+병원 면접관이었다..ㅠ 시청률 28.4% 레전드 드라마 컴백..!≪낭만닥터 김사부3≫ 1-2,2023-04-30T01:00:08Z,999920,10097,892,"['지무비', '드라마', '낭만닥터 김사부', '낭만닥터 김사부3', '낭만닥터', '한석규', '안효섭', '이성경', '김민재', '변우민', '이신영', '이홍내', '이경영']"
tFK4K3FyYwA,UCaHGOzOyeYzLQeKsVkfLEGA,내 아버지를 죽인 원수의 사위가 되기로 결심한 상상초월 충격적 이유ㄷㄷ이번엔 사악한 검사로 전직한 주여정이 역대급 미친 연기력으로 수목드라마1위 갈아치운 레전드 드라마 ≪나쁜엄마≫,2023-04-29T01:02:08Z,919569,7469,481,"['지무비', '드라마', '나쁜엄마', '이도현', '주여정', '라미란', '안은진', '최무성', '정웅인', '조진웅']"
Q-h9R9qDvmg,UCaHGOzOyeYzLQeKsVkfLEGA,와 미친.. 카지노 존이 순혈 100% 토종 한국인이었다고..!? 😱≪카지노≫&≪더 글로리≫ 진짜 억소리나는 역대급 캐스팅 비하인드  ㄷㄷ..,2023-04-28T08:00:10Z,495394,5898,311,"['영화', '지무비', '드라마', '카지노', '더글로리', '차무식', '카지노 호구', '김민', '송혜교', '임지연', '문동은', '손석구', '박연진', '글로리']"
Z6gpLv-d9pY,UCaHGOzOyeYzLQeKsVkfLEGA,4교시만 58000번 반복되면 벌어지는 일.. ㄷㄷ  ≪4교시에 갇혔다≫,2023-04-26T08:00:12Z,1188270,11092,655,"['영화', '지무비', '드라마', '웹드', '4교시에갇혔다', '타임루프']"
T3_le4nLevE,UCaHGOzOyeYzLQeKsVkfLEGA,"IQ 180 공부천재가 다 포기하고 평생 남편 뒷바라지만 해왔는데 남편이 개무시하고 바람까지피자, 각성해서 100일 만에 의사시험 수석으로 합격한 뒤 참교육하는 사이다 드라마 ㅋㅋ",2023-04-19T09:00:18Z,1265186,12600,623,"['지무비', '드라마', '닥터차정숙', '엄정화', '파국', '김병철', '명세빈', '민우혁']"
t4-0ICytQZY,UCaHGOzOyeYzLQeKsVkfLEGA,"와.. 미쳤다.. 24시간이 주어진 후,🔥시간=돈🔥으로 생활하게 되는 인타임 실사판 예능.. 드디어 ≪더 지니어스≫를 능가하는 역대급 서바이벌 예능이 떴다..! ≪더 타임 호텔≫",2023-04-17T09:15:03Z,480549,4460,412,"['지무비', '예능', '더타임호텔', '홍진호', '성윤모', '신지연', '더 타임 호텔', '황제성', '존박', '래원', '클로이', '주언규', '김남희']"
XMkhcli38Jo,UCaHGOzOyeYzLQeKsVkfLEGA,"≪카지노≫ 최고의 씬 스틸러, 호구시점으로만 다시 몰아보면 어떤 느낌일까..ㅠㅠ 당신은 안 속을 수 있을까..?  + 디즈니 4월 G리는 신작들..! (feat. 방탄 슈가)",2023-04-15T01:00:19Z,870547,7367,548,"['영화', '지무비', '드라마', '카지노', '차무식', '호구', '방탄소년단', '슈가', '방탄 슈가', 'BTS', 'Agust D', 'suga']"
O2SHwq83Foc,UCaHGOzOyeYzLQeKsVkfLEGA,대한민국 최고의 톱스타가 가스라이팅 세계 챔피언과 결혼하면 벌어지는 일 ㅋㅋㅋ 태어나서 처음보는 역대급 병맛영화 ㅋㅋㅋ≪킬링로맨스≫,2023-04-08T01:00:08Z,1114141,9678,646,"['영화', '지무비', '이선균', '이하늬', '킬링로맨스', '킬링 로맨스', '병맛영화', '병맛']"
lgRckZZmvVM,UCaHGOzOyeYzLQeKsVkfLEGA,미끼 궁예질,2023-04-07T03:00:26Z,159183,1745,69,"['지무비', '드라마', '허성태', '장근석', '미끼', '조희팔', '박명훈', 'jang keun suk', 'kdrama', 'Decoy']"
pA5GcWqB-wY,UCaHGOzOyeYzLQeKsVkfLEGA,이 개빡치는 사건을 드라마로 만들었다고..!?🔥5조 원 먹튀🔥..! 대한민국 역사상 최악의 사기꾼을 물 오른 허성태가 연기로 찢어버리는 드라마 ≪미끼Part.1≫한방에 몰아보기,2023-04-06T08:00:31Z,967454,7838,371,"['지무비', '드라마', '허성태', '장근석', '미끼', '조희팔', '박명훈', 'jang keun suk', 'kdrama', 'Decoy']"
