comment_id,comment,likeCount,video_id
UgxLm2HjSx1WHtaIz_h4AaABAg,Your desserts always looks delicious🧡💖,5,KyHGzyaIFTc
UgzT9G5uBYqUGt9T0jF4AaABAg,The sound quality is so high quality. Your videos are always so satisfying to listen/watch❤️❤️❤️,2,KyHGzyaIFTc
UgwJLidMKDIHgZodHh54AaABAg,"0:27 Rainbow Chocolate 
1:37 Blue M&M’s Peanuts Ball 
1:49 Red M&M’s Peanuts Ball
1:54 Green And Yellow And Orange M&M’s Peanuts Ball
2:06 Red M&M’s Peanuts Ball
2:09 Blue And Orange M&M’s Peanuts Ball
2:18 Yellow And Green M&M’s Peanuts Ball
2:31 Trolli Earth Gummy
3:21 Mini Cola Gummy 
3:48 Mini Hamburger Gummy
4:17 Mini Hotdog Gummy
4:30 Pink Ice Cream Marshmallow
4:57 Yellow And Green Ice Cream Marshmallow 
5:22 Yupi Gummi Fries
5:57 Pizza Gummy
6:27 Chocolate 
6:43 Trolli Hamburger Gummy
8:24 Chocolate Balls 
9:35 Windmill Candy
11:38 Water
Hapoy Tuesday!!",10,KyHGzyaIFTc
Ugw9iFVz6dB5NsQAJy54AaABAg,Those gummy’s looks delicious 😋🩵,1,KyHGzyaIFTc
Ugw49JGohLDbqvYSBxJ4AaABAg,"*Hi Jane Happy Tuesday!!! And Yes Hopefully Just Like Always Your Day Is Being Filled With Tons Of Blessings Harmony Peace Comfort Joy And Lots Of Goodwill And Prosperity Along The Way!!! We 💖 Ya Sis!!! We Truly Wish You The Best Of Luck!!!* ❤️💙💚🧡💛💜💖🎀
*Translation: 안녕하세요 제인 행복한 화요일!!!  그리고 항상 그렇듯이 당신의 하루가 수많은 축복으로 가득 차 있기를 바랍니다. 조화 평화 위안 기쁨과 많은 선의와 번영이 길을 따라!!!  우리 💖 야 누나!!!  행운을 빕니다!!!* ❤️💙💚💛🧡🤍🤎🖤🌈🏳️‍🌈🌺🌸🎀
*Please Take Good Care Of Yourself Too Now!! We Just Want You To Be Okay!!! And Always Remember To Live Life To The Fullest!!! Always Remember To Never Let Anyone Tell You That Your Somehow Not Good Enough!!! You Are Whats Best For You And For The People Who Truly Care About You!!! We Just Want You To Feel Loved And Appreciated!!! We 💙 Ya Sis!! We Truly Wish You The Best Of Luck!!!* 🌸🌺
*Translation: 이제 여러분도 몸조심하세요!!  우리는 단지 당신이 괜찮기를 원합니다!!!  그리고 항상 최선을 다해 사는 것을 기억하십시오!!!  누군가가 당신이 어떻게 든 충분하지 않다고 말하지 않도록 항상 기억하십시오!!!  당신은 당신과 당신을 진정으로 걱정하는 사람들을 위해 최선입니다!!!  우리는 당신이 사랑받고 인정받기를 바랄 뿐입니다!!!  우리 💙 야 씨!!  행운을 빕니다!!!* ❤️💙💚🧡💛🖤🤍🤎💜💖🏳️‍🌈🌈🦋
*And Just Like Always Remember To Keep Calm And Keep Smiling As You Always Do Jane!!! We 💜 Ya Sis!!! We’ll Always Have Your Back No Matter What!!! You Rock Girl!!!* 💜💖
*Translation: 그리고 항상 제인처럼 침착하고 미소를 유지하는 것을 잊지 마세요!!!  우리 💜야 언니!!!  무슨 일이 있어도 항상 도와드리겠습니다!!! 록 걸!!!* 💜💖
*And Just Like Always We’re Still Going To Be Wishing You A 19Million Milestone Journey!!! We Can’t Wait For The Biggest Moment Of A Lifetime!!! It’s Going To Be The Greatest Thing Ever!!! Can’t Wait For The Next Celebration In History!!! We Have Your Back!!! We ❤️ Ya Sis!! We Truly Wish You The Best Of Luck!!* ❤️💙
*Translation: 그리고 언제나처럼 우리는 여전히 당신에게 1900만 마일스톤 여정을 기원할 것입니다!!!  우리는 일생의 가장 큰 순간을 기다릴 수 없습니다!!!  그것은 이제까지 가장 위대한 일이 될 것입니다!!!  역사상 다음 축하 행사를 기다릴 수 없습니다!!!  우리는 당신의 등을 가지고 있습니다!!!  우리❤️야 언니!!  행운을 빕니다!!* 🥰🤗💜💖❤️💙💛🧡💚🌈🏳️‍🌈🌸🌺
*Tell Me I’m Early And Not Late Without Telling Me I’m Early And Not Late* 🌸🌺🌈🏳️‍🌈🥰🤗
*Translation: 내가 빠르다고 늦지 않았다고 말하지 않고 내가 빠르다고 늦지 않다고 말해줘* 🥰🤗💜💖
*Your Comment Got A ❤️ From Jane ASMR 제인!* 🌸🌺🌈🏳️‍🌈🥰🤗💜💖❤️💙💚💛🧡🏳️‍🌈
*Translation: 귀하의 댓글은 Jane ASMR의 ❤️를 받았습니다* 🌈🏳️‍🌈🥰🤗💜💖🌺🌸❤️💙💚
*5/2/23* *Tues.May.2.23* 🌈🏳️‍🌈💜💖🌸🌺








*Disclaimer: This Next Comment Is Only For Fun, Laughs, And Entertainment ONLY!! Please Do Not Send Any Hate Towards This Comment It Is Only For Political Satire Use Only* 🥰🙏🏼
*Translation: 이 다음 댓글은 오직 재미, 웃음, 오락을 위한 것입니다!!  이 댓글에 대해 어떤 증오도 보내지 마십시오 정치적 풍자 용도로만 사용됩니다* 🙏🏼❤️🌈





*The Characters That Are Mentioned In The Second Comment Are Not Real They Are Fictional Politicians That Clearly Dont Work For The United States Government In Washington,D.C USA 🇺🇸 And Dont Exist At All* 
*Translation: 두 번째 댓글에 언급된 캐릭터는 실제가 아닙니다 그들은 미국 워싱턴 D.C 🇺🇸의 미국 정부를 위해 일하지 않으며 전혀 존재하지 않는 가상의 정치인입니다* ❤️🤍💙🇺🇸❤️🤍💙🇺🇸❤️🤍💙🇺🇸












*Nancy: Hello, Peasants It’s Me House Drinker Nancy Pelosi!* 😉😁 
*Kamala: Hold My Knee Pads* 
*AdamSchiff: Where’s My Pencil?* 
*Nancy: Oh..Adam..Silly..Adam!* 😁😉 
*Biden: Hold My Teleprompter* 
*Hunter: Hold My Crack Pipe Laptop Ukraine Business Dealings Art Work Cheese & Tinfoil* 
*Kamala: Hahahahaha….I’m Gonna Be The President…Do Da Do Da* 🎵🎶😁😉 
*Bernie: Hold My Microphone* 🎤😳
*Hunter: Hey, Dad We’re Out Of Tinfoil* 
*Biden: That’s Okay Son, Just Give Daddy A Second To Figure Out What The Teleprompter Says* 
*Psaki: Mr.Resident Would You Care To Circle Back On That Question Sir?* 
*AOC: Hold My Dress* 
*AOC: What’s A Garbage Disposal Again?* 
*AOC: Am I A Bartender Scientist?* 
*Nancy: OH…MY…GOD!! Again With This!* 😳 
*Nancy: Hold My Vodka, Ice Cream, Wig, & Podium* 
*Biden: C’mon Man Hunter’s A Good Boy He’s The Smartest Man I Know* 
*Nancy: No, Joe Hunter’s Not A Good Boy* 🙄 
*Hillary: Delete My Emails And Bleach Fit My Devices And Take Care Of My Husbands Affair With Monica Lewinsky* 
*Bill: Hey, Hillary Have You Seen Monica?* 
*Hillary: BILL!!! Again!!* 😡🤬😤🔥 
*Biden: C’mon Man Where’s My Chocolate Chocolate Chip Ice Cream I’m Hungry!!* 
*Biden: My Butt’s Been Wiped!!* 
*Biden: Is It Naptime Yet??* 
*Biden: C’mon Man Where’s My 81 Million Voters At??….Oh Wait That’s Right They’re All At The Cemertary….Hahahahaha…Oops!* 
*Nancy: Again, Joe!! Again!!* 😳🙄 
*Biden: Alright Let’s See…..Uhhh…Ummm…Uhhh…Ummm…Uhhh…Uhhh…Ummm…Uhhh…Ummm…Uhhh…Ummm…Uhhh…Uhhh…Uhhh…Ummm…Uhhh…Uhhh…Uhhh…Ummm…Uhhh…Uhhh…Uhhh…Uhhh…Ummm….Hey, Man What’s The Teleprompter Say?? And Who’s Joe Brandon Biden?* 
*Nancy: OH…MY…GOD!!!…Joe, Again!!* 🤬😡 
*Biden: Where The Hell Am I? Where’s My Teleprompter At?? And Who’s Joe Brandon Biden?* 
*MichaelBloomberg: I’m Michael Bloomberg And I Approve This Message!* 😁 
*IlhanOmar: Can We Still Invent Sharia law??* 
*Nancy: Not Yet Ilhan, Not Yet!* 🙄😳 
*Michelle: Damn White Privilege!!* 🤬😡😤🔥 
*Obama: You Got That Right…Again!!* 
*AlecBaldwin: Hold My Hand Gun* 
*LiberalCelebs: Watch Our Movies & Listen To Our Songs!* 
*Greta: How Dare You!! Blah Blah Blah!* 🤬😡 
*Nancy: Geez…Greta…Settle Down!!* 😳🙄 
*Hunter: Hey, Dad Have You Seen My Laptop?* 
*Biden: Wait..Which One Son? The One With Ukraine, Or The One With Ukraine?* 
*Bernie: Feel The Bern!* 🔥🎤🎵🎶 
*PresidentTrump: NANCY I’M HOME!!* ❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎❤️🤍💙🇺🇸😉😎🙏🏼✊🏼🇺🇸🇺🇸🇺🇸 
*Nancy: TRUMP!!!* 🤬😡🔥😤 
*#FJB* *#AmericaLostWhileBidenWon* ❤️🤍💙🇺🇸🙏🏼✊🏼❤️🤍💙❤️🇺🇸🙏🏼✊🏼❤️🤍💙🇺🇸 
*#USA* *#LetsGoBrandon* *#Trump2024* 
*#Impeach46* *#CleanupOnAisle46* 
*#IPrayForAmericasSoul* 🙏🏼🥺💔❤️‍🩹🇺🇸 
*In The Name Of Our Father The Lord Jesus Christ Amen!* ❤️🤍💙🇺🇸🙏🏼🥰🥺🇺🇸✊🏼
*#MrRedWhiteBlue* ❤️🤍💙🇺🇸😉😎",2,KyHGzyaIFTc
Ugwt4A8jsj4g5TyDDzl4AaABAg,제인님 먹는 모습이 너무 예쁘십니다,1,KyHGzyaIFTc
Ugx2JM08cTZ6SrLrxdN4AaABAg,Jane's food always look so delicious,6,KyHGzyaIFTc
Ugy-4R1kyF1SlvsTAWF4AaABAg,Looks so delicious 🤤❤❤😍😍😍,1,KyHGzyaIFTc
UgwbADF_6XH1GzBzaZh4AaABAg,젤리가 모두 맛있어보여요ㅠㅠ 오늘도 대리만족 하고 갑니다😊🩷,4,KyHGzyaIFTc
UgwSyJ9mYb6ZRlhYn5d4AaABAg,Me encanta ❤❤❤,2,KyHGzyaIFTc
UgzwjizKuiNFc3WU2_54AaABAg,영상 잘 봤어요 제인님ㅎㅎ,2,Y8bvgecTqo4
UgxkpiMCR-oe42QrXM14AaABAg,Yummy!,0,Y8bvgecTqo4
UgwGj-ZVkqovkgucvel4AaABAg,Yummy😋😋,0,Y8bvgecTqo4
UgwfWojnGJ2K3JPAXCp4AaABAg,Yummy,0,Y8bvgecTqo4
UgzidTkTL1Wum2lASM54AaABAg,Wow 😍😍😍,0,Y8bvgecTqo4
UgyHbsV8iwbbwbacD2h4AaABAg,💖💖💖,0,Y8bvgecTqo4
Ugxu9RQYMx1fqa_NpYx4AaABAg,Hello❤,0,Y8bvgecTqo4
UgwT4PWcPdJ8eXxPLyp4AaABAg,❤❤,0,Y8bvgecTqo4
UgwHL0-jFyz3ffHW1Ex4AaABAg,q,0,Y8bvgecTqo4
UgxT4LSMaGP_hmvwzXN4AaABAg,really nice hahaha,0,Y8bvgecTqo4
UgzBklT4k1DOFJ2JoyV4AaABAg,То как вы едите так расслабляет😌,4,1SmyVCmoRD8
