영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
KyHGzyaIFTc,UC2fsxQr6Hcx1enORxXgKpxQ,"ASMR EDIBLE WINDMILL, JELLY GUMMY CANDY 바람개비, 젤리 먹방 MUKBANG",2023-05-02T13:39:16Z,17234,890,95,"['mukbang', 'asmr', '먹방', 'JANE', '제인', 'rainbow', 'jelly', 'gummy', 'windmill', 'marshmallows', '젤리', '캔디', '구미', 'candy']"
Y8bvgecTqo4,UC2fsxQr6Hcx1enORxXgKpxQ,jelly 젤리 먹방 #shorts,2023-05-02T10:51:35Z,23685,809,0,"['asmr', 'eating', 'asmr eating', 'mukbang', 'shorts']"
1SmyVCmoRD8,UC2fsxQr6Hcx1enORxXgKpxQ,"ASMR RAINBOW FOODS *EDIBLE DICE, CANDY, UNICORN STICK 무지개 케이크, 주사위 먹방 MUKBANG",2023-05-01T13:37:07Z,83582,1904,144,"['asmr', 'eating sounds', 'mukbang', 'no talking', '먹방', '리얼사운드', 'asmr eating', 'asmr food', 'asmr 먹방', '먹방 asmr', 'eating sound', 'jane asmr', '제인 asmr', 'asmr rainbow foods', 'eating rainbow foods', 'asmr rainbow desserts', 'eating rainbow desserts', 'asmr cake', 'eating cake', 'asmr macaron', 'eating macaron', 'asmr rainbow cake', 'eating rainbow cake', 'asmr rainbow macaron', 'eating rainbow macaron', 'edible dice', 'dice candy', 'unicorn', '주사위 먹방', '주사위', '주사위 사탕', '주사위 캔디', 'candy']"
rmRx0CBU86s,UC2fsxQr6Hcx1enORxXgKpxQ,watermelon 수박 먹방 #shorts,2023-05-01T11:05:44Z,53516,1519,11,"['asmr', 'eating', 'asmr eating', 'mukbang', 'shorts']"
DTkT6ToYwgc,UC2fsxQr6Hcx1enORxXgKpxQ,"ASMR CONVENIENCE STORE *HAMBURGER, FIRE NOODLES, SAUSAGE 편의점 먹방 MUKBANG",2023-04-30T13:52:30Z,104316,3256,203,"['mukbang', 'asmr', '먹방', 'JANE', '제인', '편의점', 'convenience store', '불닭', '김밥', 'fire noodles']"
vGwKEwyfJv4,UC2fsxQr6Hcx1enORxXgKpxQ,rainbow watermelon 수박 젤리 먹방 #shorts,2023-04-30T12:16:11Z,66670,1952,16,"['asmr', 'eating', 'asmr eating', 'mukbang', 'shorts']"
_QkYkC11IN0,UC2fsxQr6Hcx1enORxXgKpxQ,ASMR WATERMELON TANGHULU CANDIED STRAWBERRY 수박 딸기 탕후루 먹방 MUKBANG,2023-04-29T13:41:08Z,103803,2447,163,"['mukbang', 'asmr', '먹방', 'JANE', '제인', 'strawberry', 'tanghulu', 'candied fruit', '탕후루', 'watermelon']"
FoWsnfq56kc,UC2fsxQr6Hcx1enORxXgKpxQ,jelly 젤리 먹방 #shorts,2023-04-29T10:40:12Z,90032,2705,22,"['asmr', 'eating', 'asmr eating', 'mukbang', 'shorts']"
ObeN7fpWXMs,UC2fsxQr6Hcx1enORxXgKpxQ,"ASMR RAINBOW CUBE, WAX STICKS, RAINBOW KOHAKUTO 큐브 왁스 코하쿠토 먹방 MUKBANG",2023-04-28T13:22:02Z,116631,2192,163,"['mukbang', 'asmr', '먹방', 'JANE', '제인', 'rainbow', 'jelly', 'gummy', 'kohakuto', 'nik-l-nip', 'wax bottle', 'wax sticks']"
qX2JEh2DGGI,UC2fsxQr6Hcx1enORxXgKpxQ,Edible spoon 숟가락 먹방 #shorts,2023-04-28T07:37:56Z,252637,5574,25,"['asmr', 'eating', 'asmr eating', 'mukbang', 'shorts']"
