영상Id,채널Id,영상제목,업로드날짜,조회수,좋아요,댓글,해시태그
yMxZjeZl698,UCdtRAcd3L_UpV4tMXCw63NQ,약자를 무시하면 안되는 이유,2023-04-30T11:00:39Z,112323,1443,194,"['피지컬갤러리', '김계란', '코미디', '코메디', '쇼츠', '닛몰캐쉬', 'gymmemes', 'meme', 'gym', 'tiktok', '메타코미디', '과로사', '헬스장', '운동', '데드리프트', '바벨로우', '자세', '오퀸', '돼람이']"
rbWUTFKKJ4k,UCdtRAcd3L_UpV4tMXCw63NQ,3대 800... 그들이 다시 돌아왔습니다! | USAPL Korea IRON SOULS,2023-04-30T08:50:58Z,56306,314,5,['우마게임']
7JXwzEKFtdQ,UCdtRAcd3L_UpV4tMXCw63NQ,레터럴 레이즈하면 다치는 몸이 있다고?,2023-04-28T10:00:07Z,43336,543,70,"['피지컬갤러리', '김계란']"
nRozBasKpWE,UCdtRAcd3L_UpV4tMXCw63NQ,밥 먹을때 이 음료수들을 먹으면 엄청난 효과가.. l 다이어트 개꿀팁,2023-04-26T10:14:57Z,77166,1177,106,"['피지컬갤러리', '김계란', '다이어트', '식단', '음료수', '콜라', '푸룬', '식이섬유', '샐러드', '난소화성말토덱스트린', '제로', '운동', '유산소', '무산소']"
y-hfaS0tVUY,UCdtRAcd3L_UpV4tMXCw63NQ,스포츠왕 전기.. 체력 측정.....,2023-04-25T11:00:46Z,84778,1109,141,"['피지컬갤러리', '김계란', '운동', '입시', '체대', '데드리프트', '바벨로우', '영화리뷰', '영화', '전기', '파이', '머니게임', '우마게임', '다이어트', '유산소', '무산소', '헬스', '짐', 'gymmeme', 'gym', '가짜사나이', '자세']"
JsUkKt4p9n4,UCdtRAcd3L_UpV4tMXCw63NQ,돼지왕 전기가 왔네요...,2023-04-23T09:00:21Z,282871,3277,425,"['피지컬갤러리', '김계란', '데드리프트', '바벨로우', '체대입시', '수능', '논리왕전기', '전기', '공혁준', '우마게임', '머니게임', '가짜사나이', '조밥곽선생', '곽튜브', '빠니보틀', '멀리뛰기', '클라이밍', '인바디', '체성분', '지방', '비만', '고도비만']"
bwmZnKwlX_M,UCdtRAcd3L_UpV4tMXCw63NQ,저지방의 진실,2023-04-19T09:00:20Z,90935,1380,197,"['피지컬갤러리', '김계란', '다이어트', '식단', '지방', '고지방', '저지방', '유산소', '무산소', '데드리프트', '저탄고지', '고탄저지', '오메가3', '오메가6', '올리브유', '식물성지방', '동물성지방', '포화지방', '불포화지방', '아몬드', '무지방']"
ptBkZKe1l2I,UCdtRAcd3L_UpV4tMXCw63NQ,의외로 살 안찌는 음식들,2023-04-18T09:00:26Z,94066,1251,156,"['피지컬갤러리', '김계란', '다이어트', '식단', '비비고', '오뚜기', '즉석국', '국밥', '선지', '소고기', '고구마', '닭가슴살', '야채', '닭고야', '다이어트식단', '다이어트도시락', '저칼로리', '저지방', '단백질', '저탄고지', '유산소']"
GsdFV8Kcy0g,UCdtRAcd3L_UpV4tMXCw63NQ,수면 게임 첫 24시간 요약본 ㅣ 라이프 에이드 제작,2023-04-17T09:00:08Z,117209,454,107,"['피지컬갤러리', '김계란']"
0S9WISTECFg,UCdtRAcd3L_UpV4tMXCw63NQ,월드스타가 되어 돌아온 그녀...,2023-04-16T09:00:01Z,555737,3432,322,"['피지컬갤러리', '김계란', '이다혜', '기아', '기아타이거즈', '치어리더', '야구', 'KBO', 'Rakuten', 'Rakuengirls', 'Ramigirls', '운동', '데드리프트', '바벨로우', '유산소', '인바디']"
